"ID_CLIENTE","NOMBRE","CORREO","TELEFONO","DIRECCION"
1,"Juan Perez","juan@gmail.com","5555-1111","Zona 1"
2,"Maria Lopez","maria@gmail.com","5555-2222","Zona 5"
4,"Mario fernandez","empleado@gmail.com","0","zona 2"
6,"arath","empleado@gmail.com","0","zona 21"
7,"Armando","empleado@gmail.com","0","zona 21"
8,"jose","empleado@gmail.com","0","zona 21"
9,"mario","empleado@gmail.com","0","zona 21"
10,"ian","empleado@gmail.com","0","zona 21"
11,"Carlos Pérez","carlos@gmail.com","2222-1111","Zona 1"
12,"María López","maria@gmail.com","2222-2222","Zona 2"
13,"Juan García","juan@gmail.com","2222-3333","Zona 3"
14,"Ana Rodríguez","ana@gmail.com","2222-4444","Zona 4"
15,"Luis Martínez","luis@gmail.com","2222-5555","Zona 5"
16,"Sofía Hernández","sofia@gmail.com","2222-6666","Zona 6"
17,"Pedro Ramírez","pedro@gmail.com","2222-7777","Zona 7"
18,"Laura Méndez","laura@gmail.com","2222-8888","Zona 8"
19,"José Castillo","jose@gmail.com","2222-9999","Zona 9"
20,"Carmen Flores","carmen@gmail.com","2222-0000","Zona 10"
21,"Fanco","Coirreo@gmail.com","5678-9988","zona 2"
3,"Pedro Ramirez","pedro@gmail.com","5555-3333","Zona 10"
5,"Jose Castillo","jose@gmail.com","5555-5555","Zona 12"
